,,,Dog,,,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,
State,Year,Org Count,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care
NJ,2024,383,"52,067","35,656","51,728","19,739","11,063","1,245","3,608","16,412","33,430","6,970",38,706,"6,642","3,265",608,69,"68,432","56,261","66,366","36,958","14,780",668,"3,855","12,171","45,118","1,692","3,762",711,"8,477","4,416","2,063",127
NJ,2025,383,"48,280","32,710","48,045","17,484","10,596","1,094","3,536","15,571","30,787","6,378",43,682,"6,421","2,932",613,189,"62,276","50,961","61,815","32,685","14,079",550,"3,647","11,315","42,282","1,599","3,274",630,"7,700","3,847","2,134",350
NM,2024,118,"63,823","58,020","61,717","34,894","16,143","3,810","3,173","5,803","28,838","10,829",50,865,"10,246","10,148",640,100,"41,551","38,049","39,374","23,327","10,374","1,556","2,792","3,501","21,988","1,161","3,965","1,109","4,985","4,957","1,120",89
NM,2025,118,"58,433","52,697","57,060","30,164","15,590","4,216","2,727","5,737","27,271","10,321",43,491,"9,593","8,324",865,151,"41,349","37,421","38,726","23,119","10,541","1,625","2,137","3,928","22,258","1,201","3,714",424,"4,978","4,375","1,674",103
NV,2024,138,"49,109","42,082","47,124","24,821","10,224","4,594","2,443","7,027","23,161","11,231",22,483,"7,398","4,376",357,95,"36,840","33,003","35,412","21,092","7,735","1,808","2,369","3,837","20,778","1,441","3,143",370,"5,364","3,265",985,67
NV,2025,138,"47,727","39,640","47,112","22,841","10,528","4,334","1,938","8,087","24,285","10,564",19,423,"7,241","3,899",444,237,"37,637","32,737","37,441","20,414","8,712","1,777","1,834","4,900","22,985","1,387","3,016",266,"5,130","3,388","1,133",136
NY,2024,597,"91,943","64,779","90,299","32,209","22,509","2,695","7,366","27,163","59,052","11,067",51,"1,166","11,936","6,070",861,95,"122,713","99,551","120,952","55,240","35,302","1,382","7,626","23,162","88,538","3,019","6,149","1,413","12,127","6,337","3,220",149
NY,2025,597,"89,290","61,701","86,708","28,554","22,901","2,440","7,806","27,589","57,473","10,073",44,"1,143","11,248","5,482",934,310,"121,342","99,383","120,866","52,597","36,201","1,229","9,356","21,958","87,186","3,041","6,562","1,717","12,413","6,149","3,172",627
OH,2024,427,"104,864","77,560","104,335","41,636","23,096","4,133","8,695","27,304","68,360","13,690",45,"2,121","11,226","7,739","1,029",126,"95,504","77,120","94,143","40,261","28,453","2,250","6,156","18,384","75,768","1,834","3,094","1,121","4,959","4,678","2,541",148
OH,2025,427,"86,370","64,751","88,147","34,751","21,012","3,344","5,645","21,619","58,030","11,902",63,971,"9,010","7,067",838,265,"90,977","74,026","91,595","39,804","27,036","1,998","5,187","16,952","73,883","1,793","3,013",684,"4,473","4,916","2,413",419
OK,2024,250,"81,717","71,760","80,832","46,629","16,507","4,297","4,327","9,957","40,549","12,657",152,"1,812","13,936","10,500",938,288,"55,992","49,478","55,013","32,290","12,017","1,597","3,575","6,514","31,339","1,412","5,747","1,701","8,011","4,779","1,789",236
OK,2025,250,"77,767","67,289","79,575","42,173","16,203","3,487","5,426","10,478","39,917","12,447",350,"1,783","14,657","9,266",888,267,"53,419","47,137","53,896","30,089","11,903","1,403","3,743","6,282","30,817","1,331","5,160","1,481","8,235","4,862","1,668",342
OR,2024,184,"41,083","30,145","40,783","17,493","8,979","1,759","1,914","10,938","24,878","8,624",24,377,"4,039","2,529",268,44,"48,171","37,795","47,558","19,670","14,906",428,"2,792","10,375","35,511","1,285","1,862",604,"5,077","2,143","1,030",47
OR,2025,184,"44,374","31,370","43,762","17,232","10,052","1,801","2,285","13,004","27,596","8,409",26,435,"4,348","2,507",318,123,"50,313","39,791","48,226","19,864","16,388",575,"2,964","10,522","36,385","1,295","1,577",635,"4,901","2,262","1,027",143
PA,2024,467,"80,929","57,434","79,745","28,505","21,400","2,914","4,615","23,495","55,099","9,475",23,811,"8,297","5,265",724,50,"103,062","84,540","99,972","50,620","26,555","1,990","5,375","18,522","71,426","2,110","8,198",923,"8,794","5,803","2,617",100
PA,2025,467,"83,952","59,872","83,819","28,730","23,417","2,558","5,166","24,080","57,614","9,847",14,784,"8,725","5,175","1,406",255,"106,670","88,454","104,655","52,800","28,653","1,458","5,543","18,216","73,343","2,342","9,304","1,032","9,094","5,837","3,328",375
PR,2024,10,"3,696","3,046","3,770","1,747",838,316,145,650,"2,368",151,2,114,406,577,148,3,"2,007","1,967","1,878","1,161",689,62,54,40,"1,163",71,93,41,155,208,141,7
PR,2025,10,"3,617","3,070","3,451","1,831",861,86,291,548,"2,371",116,2,86,337,361,162,15,"1,819","1,768","1,463","1,025",662,1,80,51,"1,026",51,18,42,86,127,105,8
RI,2024,55,"6,933","5,426","6,914","2,972","1,764",300,389,"1,507","3,909","1,269",8,98,984,563,75,9,"10,330","8,512","10,234","4,128","2,387",186,"1,811","1,817","6,409",299,979,564,"1,120",594,250,20
RI,2025,55,"6,485","4,911","6,573","2,691","1,611",265,345,"1,573","3,843","1,110",10,97,829,562,105,16,"9,025","7,483","9,274","3,699","2,161",114,"1,508","1,542","5,950",343,997,304,781,624,244,31
SC,2024,224,"72,236","60,131","70,160","35,404","17,242","2,190","5,296","12,105","37,657","8,697",54,"1,020","15,054","6,789",757,132,"56,079","50,018","54,475","30,670","14,848",446,"4,054","6,061","32,613","1,406","7,059",785,"7,474","3,176","1,777",185
SC,2025,224,"75,683","61,621","73,430","34,871","18,768","2,385","5,597","14,063","40,339","8,604",46,"1,031","15,054","7,354",782,221,"64,733","56,815","63,436","34,760","16,404",448,"5,203","7,918","39,426","1,689","7,498","1,192","7,495","3,921","1,948",266
SD,2024,42,"11,589","10,336","11,363","5,900","3,124",574,738,"1,253","6,118","2,135",12,185,"1,704","1,100",91,19,"14,733","13,420","14,134","8,250","3,890",233,"1,046","1,313","8,974",528,"1,046",271,"1,781","1,133",368,34
SD,2025,42,"10,925","9,477","10,638","5,164","3,020",751,541,"1,448","5,847","2,162",11,132,"1,418",957,84,28,"13,880","12,404","12,710","7,727","3,608",294,775,"1,476","8,044",527,732,270,"1,306","1,437",350,43
TN,2024,367,"114,501","87,900","105,324","47,184","27,864","3,900","8,952","26,601","60,057","13,829",125,"2,356","18,391","9,244","1,190",133,"82,504","71,395","79,703","43,880","19,652","1,092","6,772","11,109","52,346","2,361","5,426","2,612","8,454","5,714","2,616",172
TN,2025,367,"109,983","85,047","102,283","43,772","27,401","4,377","9,498","24,936","58,032","13,428",137,"2,464","17,455","9,262","1,111",394,"84,936","74,315","82,582","44,908","20,936","1,256","7,215","10,621","54,333","2,678","5,904","2,763","8,252","5,712","2,463",476
TX,2024,"1,195","461,042","386,557","454,824","248,128","91,389","19,996","27,043","74,485","232,990","67,655","1,616","7,762","88,239","48,421","6,458","1,684","384,227","315,953","317,372","201,983","80,183","5,129","28,658","68,275","180,648","8,539","28,944","6,122","51,405","28,015","11,864","1,834"
TX,2025,"1,195","452,678","373,375","449,295","235,213","89,354","19,393","29,416","79,303","229,432","68,335",987,"7,258","88,796","45,657","5,766","1,552","392,968","319,564","325,913","203,800","79,274","5,284","31,206","73,403","184,388","8,889","28,248","6,493","52,916","28,789","11,411","1,672"
UT,2024,136,"35,874","30,038","35,284","17,347","7,975","2,070","2,645","5,836","18,813","8,490",36,578,"4,596","2,464",267,39,"46,098","38,259","44,629","24,025","9,425","1,349","3,460","7,839","26,452","1,625","5,267",988,"5,711","3,271","1,245",69
UT,2025,136,"37,082","31,317","36,230","16,954","9,170","2,188","3,006","5,765","19,568","8,421",41,512,"4,708","2,551",336,91,"47,392","41,401","46,252","24,652","10,735","1,607","4,408","5,990","26,910","1,971","5,844","1,404","5,253","3,532","1,186",153
VA,2024,374,"78,277","54,920","78,894","28,401","18,794","2,120","5,605","23,356","49,181","11,966",52,858,"10,010","6,045",695,87,"83,051","61,981","82,534","34,185","22,366",774,"4,655","21,070","57,361","2,223","4,386",726,"10,024","5,554","2,124",137
VA,2025,374,"78,834","53,758","80,592","27,118","19,085","2,194","5,361","25,076","51,118","11,570",60,966,"10,231","5,638",714,295,"84,238","62,842","85,455","34,356","23,464",926,"4,096","21,396","59,770","2,229","4,540",754,"9,911","5,678","2,193",381
VI,2024,3,"1,118","1,088","1,283",628,396,45,20,29,362,66,9,13,598,212,20,4,"1,533","1,521","1,685","1,231",142,10,138,12,417,23,704,9,307,76,141,8
VI,2025,3,855,820,764,439,306,49,25,36,330,42,1,15,248,108,15,5,556,556,728,439,81,29,7,0,451,40,3,6,89,70,48,21
VT,2024,47,"4,696","2,807","4,911",877,"1,524",39,368,"1,889","3,727",333,1,68,483,250,44,3,"6,850","5,328","7,093","1,863","2,935",29,501,"1,522","6,144",229,104,42,188,258,123,6
VT,2025,47,"4,994","2,942","5,111",852,"1,589",45,456,"2,053","3,918",311,1,104,500,195,52,30,"6,283","4,830","6,716","1,687","2,748",28,368,"1,452","5,779",209,123,35,213,226,109,21
WA,2024,262,"55,249","43,073","54,683","25,619","12,524","2,074","2,856","12,176","34,074","10,354",66,451,"5,303","3,870",446,119,"80,395","64,047","80,478","38,031","20,906",827,"4,283","16,348","61,301","2,142","3,513",639,"6,573","4,271","1,846",193
WA,2025,262,"55,820","42,472","55,485","23,734","14,270","1,800","2,669","13,347","35,769","9,096",30,482,"5,653","3,857",437,162,"84,446","67,090","83,499","38,417","23,860",895,"3,919","17,356","63,617","2,342","3,270",647,"6,592","4,678","2,077",275
WI,2024,183,"42,832","31,824","40,684","17,131","11,255","1,285","2,152","11,009","24,219","8,759",10,728,"3,447","3,285",220,15,"66,425","57,992","65,008","34,628","19,636",518,"3,211","8,433","47,884","3,290","2,335",934,"4,140","4,815","1,574",36
WI,2025,183,"43,671","33,059","41,885","16,442","13,167","1,231","2,219","10,612","25,229","8,826",7,719,"3,666","3,146",224,69,"69,270","60,330","67,973","33,800","22,454",596,"3,480","8,940","50,404","3,453","2,333","1,141","4,217","4,667","1,589",168
